sportsplayed, facilitycondition, postcode, objectid, suburbtown, facilityage
"Australian Rules Football","3. Average",3770,9196,"COLDSTREAM","26 - 50 Years"
"Australian Rules Football","2. Poor",3770,9197,"COLDSTREAM","26 - 50 Years"
"Australian Rules Football","2. Poor",3766,9198,"KALORAMA","26 - 50 Years"
"Australian Rules Football","3. Average",3137,9199,"KILSYTH","26 - 50 Years"
"Australian Rules Football","4. Good",3137,9200,"KILSYTH","26 - 50 Years"
"Australian Rules Football","3. Average",3116,9201,"CHIRNSIDE PARK","26 - 50 Years"
"Australian Rules Football","4. Good",3140,9202,"LILYDALE","26 - 50 Years"
"Australian Rules Football","3. Average",3793,9203,"MONBULK","26 - 50 Years"
"Australian Rules Football","5. Very Good",3765,9204,"MONTROSE","26 - 50 Years"
"Australian Rules Football","4. Good",3138,9205,"MOOROOLBARK","26 - 50 Years"
"Australian Rules Football","3. Average",3796,9206,"MOUNT EVELYN","26 - 50 Years"
"Australian Rules Football",null,3140,9207,"LILYDALE",null
"Australian Rules Football","3. Average",3804,9208,"NARRE WARREN EAST","26 - 50 Years"
"Australian Rules Football","2. Poor",3788,9209,"OLINDA","26 - 50 Years"
"Australian Rules Football","3. Average",3137,9210,"KILSYTH","26 - 50 Years"
"Australian Rules Football","3. Average",3797,9211,"POWELLTOWN","26 - 50 Years"
"Australian Rules Football","3. Average",3777,9212,"HEALESVILLE","26 - 50 Years"
"Australian Rules Football","3. Average",3139,9213,"SEVILLE","26 - 50 Years"
"Australian Rules Football","4. Good",3795,9214,"SILVAN","26 - 50 Years"
"Australian Rules Football","2. Poor",3158,9215,"UPWEY","26 - 50 Years"
"Australian Rules Football","4. Good",3139,9216,"WANDIN EAST","0 - 5 Years"
"Australian Rules Football","3. Average",3139,9217,"WANDIN NORTH","26 - 50 Years"
"Cycling",null,null,8292,null,null
"Australian Rules Football","4. Good",3799,9218,"WARBURTON","26 - 50 Years"
"Australian Rules Football","3. Average",3799,9219,"WESBURN","26 - 50 Years"
"Australian Rules Football","3. Average",3139,9220,"LAUCHING PLACE","26 - 50 Years"
"Australian Rules Football","4. Good",3139,9221,"WOORI YALLOCK","26 - 50 Years"
"Australian Rules Football","3. Average",3775,9222,"YARRA GLEN","26 - 50 Years"
"Australian Rules Football","4. Good",3797,9223,"YARRA JUNCTION","26 - 50 Years"
"Badminton","4. Good",3137,9224,"KILSYTH","11 - 25 Years"
"Basketball","4. Good",3137,9225,"KILSYTH","11 - 25 Years"
"BMX",null,null,9226,"KILSYTH",null
"BMX","3. Average",3777,9227,"HEALESVILLE","6 - 10 Years"
"BMX","3. Average",3793,9228,"MONBULK","6 - 10 Years"
"Cricket","2. Poor",3793,9229,"MONBULK","26 - 50 Years"
"Cricket","4. Good",3160,9230,"BELGRAVE","26 - 50 Years"
"Cricket","3. Average",3160,9231,"BELGRAVE SOUTH","26 - 50 Years"
"Cricket","3. Average",3138,9232,"MOOROOLBARK","26 - 50 Years"
"Cricket","3. Average",3777,9233,"HEALESVILLE","26 - 50 Years"
"Cricket","2. Poor",3797,9234,"GLADYSDALE","26 - 50 Years"
"Cricket",null,3786,9235,"FERNY CREEK",null
"Cricket","3. Average",3770,9236,"GRUYERE","26 - 50 Years"
"Cricket","3. Average",3770,9237,"COLDSTREAM","26 - 50 Years"
"Cricket","3. Average",3139,9238,"HODDLES CREEK","26 - 50 Years"
"Cricket","3. Average",3770,9239,"COLDSTREAM","26 - 50 Years"
"Cricket","3. Average",3766,9240,"KALORAMA","26 - 50 Years"
"Cricket","3. Average",3765,9241,"MONTROSE","26 - 50 Years"
"Cricket","3. Average",3137,9242,"KILSYTH","26 - 50 Years"
